model,n,pos,roc,pr,null_med,p,cov
stepmhc_paired,684,114,0.7395967990150816,0.3569037422201182,0.5000076946752847,0.000999000999000999,100.0
stepmhc_beta,684,114,0.669482917820868,0.31538040455373795,0.5008310249307479,0.000999000999000999,100.0
panpep,684,114,0.5121114188981225,0.17521666262000674,0.49888427208371805,0.34665334665334663,100.0
teim,678,113,0.5093899287336519,0.17510402178673573,0.4994439658548046,0.3706293706293706,99.12280701754386
nettcr,684,114,0.5075869498307172,0.1892645253488148,0.49976915974145897,0.3866133866133866,100.0
unipmt,684,114,0.4907202216066482,0.16628860079136254,0.5009464450600185,0.6353646353646354,100.0
pmtnet,684,114,0.48986611265004615,0.15933816337080503,0.4978724222837796,0.6243756243756243,100.0
imrex,678,113,0.4856762471610933,0.17048587349472802,0.5008614613517112,0.6993006993006993,99.12280701754386
